,Type,Sex,Size,Intake Type,Intake Subtype,Intake Jurisdiction,PredomBreed,PredomColor,IntakeAgeYrs,Type Sex,Type Size,Type Intake Type,Type Intake Subtype,Type Intake Jurisdiction,Type PredomBreed,Type PredomColor,Type IntakeAgeYrs,Sex Size,Sex Intake Type,Sex Intake Subtype,Sex Intake Jurisdiction,Sex PredomBreed,Sex PredomColor,Sex IntakeAgeYrs,Size Intake Type,Size Intake Subtype,Size Intake Jurisdiction,Size PredomBreed,Size PredomColor,Size IntakeAgeYrs,Intake Type Intake Subtype,Intake Type Intake Jurisdiction,Intake Type PredomBreed,Intake Type PredomColor,Intake Type IntakeAgeYrs,Intake Subtype Intake Jurisdiction,Intake Subtype PredomBreed,Intake Subtype PredomColor,Intake Subtype IntakeAgeYrs,Intake Jurisdiction PredomBreed,Intake Jurisdiction PredomColor,Intake Jurisdiction IntakeAgeYrs,PredomBreed PredomColor,PredomBreed IntakeAgeYrs,PredomColor IntakeAgeYrs,Outcome Type
10058,1.0,2.0,2.0,3.0,17.0,10.0,8.0,0.0,1.96,2.0,2.0,3.0,17.0,10.0,8.0,0.0,1.96,4.0,6.0,34.0,20.0,16.0,0.0,3.92,6.0,34.0,20.0,16.0,0.0,3.92,51.0,30.0,24.0,0.0,5.88,170.0,136.0,0.0,33.32,80.0,0.0,19.6,0.0,15.68,0.0,0
10059,2.0,0.0,4.0,1.0,5.0,8.0,14.0,13.0,-1.0,0.0,8.0,2.0,10.0,16.0,28.0,26.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,4.0,20.0,32.0,56.0,52.0,-4.0,5.0,8.0,14.0,13.0,-1.0,40.0,70.0,65.0,-5.0,112.0,104.0,-8.0,182.0,-14.0,-13.0,3
10060,0.0,2.0,4.0,2.0,13.0,8.0,22.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,26.0,16.0,44.0,24.0,24.0,8.0,52.0,32.0,88.0,48.0,48.0,26.0,16.0,44.0,24.0,24.0,104.0,286.0,156.0,156.0,176.0,96.0,96.0,264.0,264.0,144.0,3
10061,2.0,1.0,4.0,4.0,13.0,10.0,46.0,0.0,1.9,2.0,8.0,8.0,26.0,20.0,92.0,0.0,3.8,4.0,4.0,13.0,10.0,46.0,0.0,1.9,16.0,52.0,40.0,184.0,0.0,7.6,52.0,40.0,184.0,0.0,7.6,130.0,598.0,0.0,24.7,460.0,0.0,19.0,0.0,87.39999999999999,0.0,3
10062,1.0,3.0,2.0,4.0,2.0,8.0,27.0,8.0,11.98,3.0,2.0,4.0,2.0,8.0,27.0,8.0,11.98,6.0,12.0,6.0,24.0,81.0,24.0,35.94,8.0,4.0,16.0,54.0,16.0,23.96,8.0,32.0,108.0,32.0,47.92,16.0,54.0,16.0,23.96,216.0,64.0,95.84,216.0,323.46000000000004,95.84,2
10063,1.0,0.0,2.0,4.0,2.0,10.0,50.0,0.0,6.9,0.0,2.0,4.0,2.0,10.0,50.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,20.0,100.0,0.0,13.8,8.0,40.0,200.0,0.0,27.6,20.0,100.0,0.0,13.8,500.0,0.0,69.0,0.0,345.0,0.0,2
10064,0.0,4.0,0.0,4.0,1.0,8.0,22.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,32.0,88.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,88.0,0.0,2.0,8.0,22.0,0.0,0.5,176.0,0.0,4.0,0.0,11.0,0.0,3
10065,1.0,2.0,4.0,4.0,2.0,10.0,51.0,18.0,-1.0,2.0,4.0,4.0,2.0,10.0,51.0,18.0,-1.0,8.0,8.0,4.0,20.0,102.0,36.0,-2.0,16.0,8.0,40.0,204.0,72.0,-4.0,8.0,40.0,204.0,72.0,-4.0,20.0,102.0,36.0,-2.0,510.0,180.0,-10.0,918.0,-51.0,-18.0,2
10066,1.0,1.0,1.0,4.0,2.0,8.0,38.0,9.0,1.08,1.0,1.0,4.0,2.0,8.0,38.0,9.0,1.08,1.0,4.0,2.0,8.0,38.0,9.0,1.08,4.0,2.0,8.0,38.0,9.0,1.08,8.0,32.0,152.0,36.0,4.32,16.0,76.0,18.0,2.16,304.0,72.0,8.64,342.0,41.040000000000006,9.72,2
10067,0.0,3.0,4.0,4.0,13.0,8.0,22.0,18.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,39.0,24.0,66.0,54.0,0.75,16.0,52.0,32.0,88.0,72.0,1.0,52.0,32.0,88.0,72.0,1.0,104.0,286.0,234.0,3.25,176.0,144.0,2.0,396.0,5.5,4.5,0
